通し番号	作業番号	作業ファイル	申込番号	店舗種別	施設名称	施設所在地	施設ホームページURL
24071	296	職	53374270	カフェ・喫茶店	FlowerQuiche本店	〒545-0052 大阪府 大阪市阿倍野区 阿倍野筋1-1-61新宿ごちそうビル１F	https://peraichi.com/landing_pages/view/flowerquiche
24265	490	職	22581517	お好み焼	お好み焼　偶　大阪池田店	〒563-0014 大阪府 池田市 木部町２１２－1	
24284	509	職	68151722	BAR	BAR CrossRoad	〒573-1116 大阪府 枚方市 船橋本町2丁目54番1ファミール明和103号	
24650	875	職	47765319	居酒屋	海物焼　新島水産　福島店	〒553-0003 大阪府 大阪市福島区 福島5-6-13	
24747	972	職	34096067	焼肉	炭火焼肉心斎富田林店	〒584-0003 大阪府 富田林市 喜志新家町2-8-25	
24903	1128	職	65217927	沖縄料理	すし半松原三宅店	〒580-0046 大阪府 松原市 三宅中1-1-4	
25064	1289	職	97526977	ステーキハウス	百千兆	〒546-0022 大阪府 大阪市東住吉区 住道矢田5-1-29	
25128	1353	職	49470800	BAR	sabbath	〒562-0011 大阪府 箕面市 如意谷2丁目8-32-2F	
25170	1395	職	75012582	居酒屋	IZAKA-YA たご作　JR高槻店	〒569-0803 大阪府 高槻市 高槻町2-8	
25234	1459	職	78509851	その他	鉄燻CHOI	〒536-0016 大阪府 大阪市城東区 蒲生１丁目８番９号	http://dlv.jp
25495	1720	職	28203134	居酒屋	じゃりんこ	〒530-0041 大阪府 大阪市北区 天神橋６丁目５番３４号	https://retty.me/area/PRE27/ARE92/SUB62105/100001572742/
25501	1726	職	50768304	居酒屋	赤とんぼ	〒557-0002 大阪府 大阪市西成区 太子1-15-1	
25635	1860	職	36874660	居酒屋	どば屋・カレイヤー	〒541-0059 大阪府 大阪市中央区 博労町3-4-9	
25671	1896	職	63140288	中華料理	会元楼	〒530-0043 大阪府 大阪市北区 天満2丁目１４－７グリーンハウス天満１階	
25720	1945	職	95009050	BAR	CAFFE&BAR AKARI 	〒584-0005 大阪府 富田林市 喜志町3-9-1	
25725	1950	職	13776433	ラーメン	一風堂　箕面店	〒562-0024 大阪府 箕面市 粟生新家1-1-3	https://www.ippudo.com/
25788	2013	職	27627817	和食	旬豊作　米家　kome-ya	〒599-8237 大阪府 堺市中区 深井水池町3164 カサグランデ1階	sakai-komeya.com
25861	2086	職	98579124	その他	東大阪祭典	〒578-0956 大阪府 東大阪市 横枕西1-3	https://www.osakasaiten.com/kaikan/higasi.html
25901	2126	職	96922932	スナック	Ｊｕｌｉｅｔ	〒572-0085 大阪府 寝屋川市 香里新町26-3　レオンズビル305	
25982	2207	職	17936302	BAR	コナイト	〒541-0054 大阪府 大阪市中央区 南本町3-3-23 インペリアル船場206	https://conight.jp/
26072	2297	職	59280578	中華料理	餃子の王将日本橋でんでんタウン店	〒556-0005 大阪府 大阪市浪速区 日本橋５丁目１８番２５号アリタビル１階	https://www.osho.co.jp
26187	2412	職	24251347	焼き鳥屋	やきとり笑吉	〒573-0064 大阪府 枚方市 北中振2-1-17	
26362	2587	職	84693110	居酒屋	さかいえん弥	〒542-0082 大阪府 大阪市中央区 島之内1-21-11ル・シェルド島之内1階	tabelog.com/osaka/A2701/A270201/27102989/
26402	2627	職	91931228	フランス料理店	フリジェリオ	〒550-0015 大阪府 大阪市西区南堀江３丁目８番９号　プレミアム南堀江　１階	
26415	2640	職	64892961	その他	港大阪祭典	〒552-0013 大阪府 大阪市港区 福崎1丁目1番62号	
26451	2676	職	34394465	中華料理	紅紅火火	〒567-0816 大阪府 茨木市 永代町8-30大槻ビル一階北側	http://honhonhouhou.com/
26463	2688	職	96773803	BAR	Barジョーカー	〒530-0057 大阪府 大阪市北区 曽根崎1-7-13　レイソル曽根崎4階	
26486	2711	職	64280046	居酒屋	煮炊きすずなり	〒542-0083 大阪府 大阪市中央区 東心斎橋２丁目８－２１　日宝畳屋町会館１階	https://tabelog.com/osaka/A2701/A270201/27113140/
26598	2823	職	15789374	和食	旬彩 旨魯	〒545-0021 大阪府 大阪市阿倍野区 阪南町1-50-25	https://shunsai-shiro.net
26600	2825	職	19185409	和食	きよまさ食堂	〒538-0043 大阪府 大阪市鶴見区 今津南1-3-19	
26783	3008	職	82759838	BAR	BAR HEAVENSKITCHEN	〒534-0024 大阪府 大阪市都島区東野田町３丁目８番２号 吉川ビル　２階	http://heavens-kitchen.net/food-menu
26931	3156	職	35925432	カフェ・喫茶店	コーヒーハウス　芝	〒580-0025 大阪府 松原市 北新町1-1-25	
27022	3247	職	24946799	カラオケ	遊遊	〒570-0012 大阪府 守口市 大久保町4丁目３２－５	
27054	3279	職	92775696	BAR	ベーカリーカフェ&ワインバル　リタ&エム	〒560-0033 大阪府 豊中市 蛍池中町3丁目1-5構内連絡通路蛍池駅	
27058	3283	職	87657001	BAR	SHOTBAR2ndNOBU	〒530-0057 大阪府 大阪市北区 曽根崎2-5-37	https://www.facebook.com/profile.php?id=100037183071268
27137	3362	職	51994952	焼肉	焼肉れん	〒594-0081 大阪府 和泉市 葛の葉町2-1-7	
27189	3414	職	76526585	その他	平野大阪祭典ファミリーホール	〒547-0048 大阪府 大阪市平野区 平野馬場2-3-5	https://www.osakasaiten.com/kaikan/hirano.html
27192	3417	職	29411285	カラオケ	カラオケ喫茶ゆう	〒577-0816 大阪府 東大阪市 友井３－５－６	
27247	3472	職	75292155	アジア料理	オッテ	〒550-0014 大阪府 大阪市西区 北堀江1-22-21ヒフミヤビル1階	
27256	3481	職	63191024	焼肉	焼肉AG	〒542-0067 大阪府 大阪市中央区 松屋町10-18 リオン松屋町1階	
27332	3557	職	54541541	居酒屋	鮨べろ 枚方店	〒573-1191 大阪府 枚方市 新町1丁目2-10 テイクスリービル2F	
27720	150	2	44205925	居酒屋	Ｎ白木屋上本町駅前店	〒543-0001 大阪府 大阪市天王寺区 上本町6-7-2 上六三和会館 3階	
27812	242	2	78169059	居酒屋	楽膳きわき	〒552-0011 大阪府 大阪市港区南市岡 ３－１０－９	https://tabelog.com/osaka/A2701/A270401/27059936/
28572	1007	2	41193090	お好み焼	お好み焼　偶　船場丼池店	〒541-0056 大阪府 大阪市中央区 久太郎町３－４－１	http://www.okonomiyaki-gu.co.jp/
29260	1698	2	20893914	居酒屋	酒菜屋あかまる	〒567-0887 大阪府 茨木市 西中条町1-1ハタセviビル	https://www.hotpepper.jp/strJ000022473/
29636	2074	2	36077961	BAR	燦	〒532-0011 大阪府 大阪市淀川区 西中島３丁目13-5-6F	
29780	2218	2	46767605	和食	花満円出戸店	〒547-0015 大阪府 大阪市平野区 長吉長原西１丁目４番６号イオン長吉店１階	http://www.advancefoodservice.com/hanamanmaru2.html
30121	2559	2	88201818	カラオケ	カラオケ喫茶チャーミ	〒577-0835 大阪府 東大阪市 柏田西2-3-4	
30718	3158	2	99402938	カラオケ	SAM	〒552-0016 大阪府 大阪市港区 三先2-13-22-204 朝汐ギャラクシービル	
30894	3334	2	11865890	カフェ・喫茶店	フルーツパーラー+ベーカリーSeason&Co.	〒530-0011 大阪府 大阪市北区 大深町1-1 LINKS UMEDA1F	https://season-co.shop/
31078	3518	2	46524709	居酒屋	就美	〒542-0084 大阪府 大阪市中央区 宗右衛門町6-25日宝富士センター１階４号	
31100	3540	2	50360724	和食	まーちゃん	〒579-8051 大阪府 東大阪市 瓢箪山町2－3　	
31151	3591	2	90153862	焼肉	焼肉ばっちょ	〒597-0071 大阪府 貝塚市 加神1-4-26	
31163	3603	2	61455518	和食	kitchen BAR 川人	〒542-0076 大阪府 大阪市中央区 難波4-6-2ミューズビル3F	
31658	4099	2	49900521	居酒屋	デリシャスダイニングサカイ	〒590-0077 大阪府 堺市堺区 中瓦町2-3-22テクノ大徳ビル３F	
31831	4272	2	97489246	居酒屋	Dining居酒屋あいかつ	〒595-0032 大阪府 泉大津市 穴田57-1シネクティクス第２ビル	https://r.gnavi.co.jp/kwd0m5r20000/
31962	4403	2	61519254	串かつ屋	串かつ 活 天保山マーケットプレース店	〒552-0022 大阪府 大阪市港区 海岸通1-1-10天保山マーケットプレース2階	https://www.tsudasangyo.co.jp/kushikatsu
31971	4412	2	81898565	洋食（オムライス等）	FarD HEPファイブ店	〒530-0017 大阪府 大阪市北区 角田町5-15 HEPファイブ7階	https://www.tsudasangyo.co.jp/fard
32063	4504	2	52607461	洋食（オムライス等）	ベビーフェイスプラネッツ河内長野店	〒586-0021 大阪府 河内長野市 原町4丁目2-3	
32072	4513	2	26191972	ラウンジ	Lounge MOZU	〒590-0946 大阪府 堺市堺区 熊野町東１丁２番１２号　３０１号室	
32325	4768	2	98985658	居酒屋	庵	〒594-0071 大阪府 和泉市 府中町7-2-2	https://kushikatsu-iori.owst.jp/
32527	4970	2	31396429	スナック	スナックazure	〒558-0003 大阪府 大阪市住吉区 長居2丁目12番8号Fnネオプラザ長居301号	
33137	5580	2	64210736	焼肉	炭火ホルモン貴之助	〒542-0084 大阪府 大阪市中央区 宗右衛門町6-25日宝富士センター1F3号	
33386	5829	2	29658596	居酒屋	からたこ匠　本店	〒535-0031 大阪府 大阪市旭区 高殿６丁目１４番３２号	
34165	6608	2	39462472	イタリア料理	Trattoria Panja	〒573-0031 大阪府 枚方市 岡本町１１番８号	https://www.cafeco-foods.com/trattoriapanja
34627	7070	2	15031878	寿司屋	河島寿司	〒545-0011 大阪府 大阪市阿倍野区 昭和町１丁目４－３４	
34750	7193	2	22191477	イタリア料理	たんぽぽ	〒592-0012 大阪府 高石市 西取石３－５－１２	
34850	7293	2	22873769	BAR	RE SOCO	〒542-0086 大阪府 大阪市中央区 西心斎橋1-7-8 シンズ三角タワー6階	
34932	7375	2	52251521	和食	旬ごはんとお酒　三心	〒534-0024 大阪府 大阪市都島区 東野田町2丁目3番地5号パークサイドビル1F	
34941	7384	2	44204186	カフェ・喫茶店	BURN SIDE ST CAFE	〒530-0012 大阪府 大阪市北区 芝田１ー１ー３梅田阪急三番街北館地下２階	
35229	7672	2	78899610	居酒屋	福岡鮮魚卸直営店　ビストロ酒場ウオスケ	〒530-0011 大阪府 大阪市北区大深町1番1号	
35577	8021	2	85815832	そば	つけそば専門店五常　阪急三番街店	〒530-0012 大阪府 大阪市北区 芝田1-1-3 阪急三番街北館地下2階　101	
35626	8070	2	37987721	ラウンジ	Rラウンジ	〒570-0056 大阪府 守口市 寺内町2丁目9-26-2F	
35693	8137	2	71585737	和食	お食事処　みや	〒531-0073 大阪府 大阪市北区 本庄西2丁目1-7	
35696	8140	2	19532197	スナック	おばんざいスナック菜の香	〒542-0076 大阪府 大阪市中央区 難波4-3-16GTタウン1階	
35777	8221	2	32226052	中華料理	哇哇	〒563-0057 大阪府 池田市 槻木町７番８号	
36416	8861	2	72744827	カフェ・喫茶店	カフェバール　カバリエ難波店	〒542-0076 大阪府 大阪市中央区 難波４丁目１－１５	
36519	8964	2	35247414	ラウンジ	GRACE	〒530-0002 大阪府 大阪市北区 曽根崎新地1-3-30KOHADAビル4F404	
36907	9352	2	69742440	フランス料理店	ｋｎａｂｅｎ	〒550-0015 大阪府 大阪市西区 南堀江１丁目２６番１５号　エルザグレースタワー堀江	
37383	9830	2	48306289	居酒屋	鶏家　六角鶏　難波２号	〒556-0011 大阪府 大阪市浪速区 難波中１－１５－２３　難波清覚ビル	
37432	9879	2	63019779	ラーメン	ラーメンが好きです	〒558-0003 大阪府 大阪市住吉区 長居4-2-28-102	https://ramenlove2021.com
37590	10037	2	99692329	うどん	つるまる中之島店	〒530-0005 大阪府 大阪市北区 中之島4-3-37常安ビル1F	
37745	10192	2	45826596	中華料理	餃子酒場サブロー	〒572-0085 大阪府 寝屋川市 香里新町29-13	https://r.gnavi.co.jp/r18a9yjg0000/
38244	10691	2	23593866	イタリア料理	イル ピスタッキオ	〒567-0887 大阪府 茨木市 西中条町2-12	
38420	10867	2	14138650	天ぷら屋	揚げたて天ぷら　やぐら　イオン茨木店	〒567-0033 大阪府 茨木市 松ケ本町8-30　イオン茨木ショッピングセンター4階	https://www.sumibiyakiniku.com/shop12/saishu.php?shop_cd=00102
38542	10990	2	75554659	カフェ・喫茶店	タリーズコーヒー阪急石橋店	〒563-0032 大阪府 池田市 石橋2-18-1阪急石橋阪大前駅梅田行きホーム（改札内）	https://www.tullys.co.jp/
38747	11195	2	91880888	中華料理	芳龍	〒544-0023 大阪府 大阪市生野区 林寺2-20-12	
38947	11395	2	79852183	スナック	Felice     フェリーチェ	〒544-0014 大阪府 大阪市生野区 巽東1-1-35レーベンリーベ  1F	
39121	11569	2	31527884	スナック	夢心家	〒544-0011 大阪府 大阪市生野区 田島3-4-16	http://yumegokochi-karaokesunakku.jimdofree.com
39368	11816	2	13513443	スナック	カラオケあん	〒547-0004 大阪府 大阪市平野区 加美鞍作2-3-7	
39419	11867	2	10907179	スナック	ぶらうん	〒533-0004 大阪府 大阪市東淀川区 小松4丁目6--2　ハイツ上新小松1F	
39538	11986	2	15481914	カラオケ	カラオケきっさナイン	〒591-8021 大阪府 堺市北区 新金岡町5-3-125 辻野ビル103	
39580	12028	2	49130475	インド料理	インドレストラン　ブッダガヤ	〒537-0025 大阪府 大阪市東成区 中道1-9-18森ノ宮レジャービル402	https://tabelog.com/osaka/A2701/A270107/27123933/
39664	12112	2	10023678	その他	大分中津　からあげ とり福　虎目横丁店	〒542-0074 大阪府 大阪市中央区 千日前2丁目3番15号	
39688	12136	2	35792838	カフェ・喫茶店	カフェ チャオプレッソ×ピッツァコナ難波駅店	〒542-0076 大阪府 大阪市中央区 難波4-1-17	
39762	12210	2	63965329	ラウンジ	brotherhood	〒598-0007 大阪府 泉佐野市 上町3丁目11-4	http://cher-cp.jp/
39897	12345	2	28893551	イタリア料理	エーピッツァ　大阪京橋店	〒534-0024 大阪府 大阪市都島区 東野田町1-6-22 KIKI京橋１F	http://a-pizza.me
39917	12365	2	39507389	そば	焼酎 蕎麦や はやさき	〒541-0053 大阪府 大阪市中央区 本町4-7-15ﾀｳﾝｺｰﾄ本町	
40109	12557	2	45362777	寿司屋	スシロー　大東店	〒574-0044 大阪府 大東市 諸福8-2-20	https://www.akindo-sushiro.co.jp/shop/detail.php?id=2
40229	12677	2	51755256	焼肉	焼肉福寿園	〒533-0013 大阪府 大阪市東淀川区 豊里1-7-31	
40495	12944	2	49335772	スナック	みやび	〒559-0001 大阪府 大阪市住之江区 粉浜1-7-6　桃川レジャービル4F	
40611	13060	2	44970693	焼肉	焼肉ちょうしゅう	〒542-0084 大阪府 大阪市中央区 宗右衛門町1-21	http://yugafu-llc.com/yugafu/
40846	13296	2	51060000	焼肉	焼肉 ぶんちゃん	〒574-0046 大阪府 大東市 赤井2丁目5番26号	
41061	13511	2	40944718	鉄板焼き屋	塊肉酒場LOVE＆29西中島店	〒532-0011 大阪府 大阪市淀川区 西中島3丁目19番7号第1ユヤマビル1階	https://dreamreality-group.co.jp/about-us/list/
41131	13581	2	35888249	焼肉	炭火焼肉 くれない 蛍池店	〒560-0031 大阪府 豊中市 蛍池北町３丁目２－３業務スーパー２階	https://r.gnavi.co.jp/7nfx23tg0000/
41228	13678	2	30421349	ラーメン	京らーめん長崎ちゃんぽんシェフ	〒537-0011 大阪府 大阪市東成区 東今里２丁目２番４号	
41535	13985	2	72113061	スナック	はなび	〒544-0034 大阪府 大阪市生野区 桃谷４丁目４番９号１階	
41959	225	3	81430043	居酒屋	たこ焼き酒場たこ太　瓦町店	〒541-0048 大阪府 大阪市中央区 瓦町２丁目１番１２号	http://www.bf-g.co.jp/
42192	458	3	33714720	スナック	スナックシベール	〒571-0066 大阪府 門真市 幸福町24-7	
42283	549	3	76198290	BAR	シーズバーファースト	〒530-0027 大阪府 大阪市北区 堂山町7	
42807	1073	3	29326697	その他	ハイアットリージェンシー大阪内28階　サロン・パノラマ	〒559-0034 大阪府 大阪市住之江区 南港北１丁目１３番１１号	https://www.hyatt.com/ja-JP/hotel/japan/hyatt-regency-osaka/osaka/special-events
43180	1446	3	10432995	BAR	ボードゲームバーボーダレス	〒534-0024 大阪府 大阪市都島区 東野田町2丁目9-15山佐ビル6F	https://boardgamebarbl.com/
43268	1534	3	81287731	和食	山ひげ	〒530-0002 大阪府 大阪市北区 曽根崎新地１－２－４　谷安セストビル１Ｆ	http://yamahige.site/
43403	1669	3	14393994	BAR	Grande	〒530-0003 大阪府 大阪市北区 堂島１丁目２番２３号ベガアークビル４階４０１号	
43462	1728	3	68043320	スナック	モナリザ	〒530-0002 大阪府 大阪市北区 曽根崎新地1-9-12	
43751	2018	3	91913721	カフェ・喫茶店	からふね屋珈琲　箕面店	〒562-0043 大阪府 箕面市 桜井2-14-19	http://karafuneya.jp/
43919	2186	3	42578902	スナック	JEWELUNA	〒563-0032 大阪府 池田市 石橋２丁目１５番地３０リベラールプラザ２FC	https://q9dsq.crayonsite.net/p/2/
43949	2216	3	32609398	中華料理	蘭梅	〒598-0007 大阪府 泉佐野市 上町1-8-26	
44073	2340	3	18497769	洋食（オムライス等）	紫山	〒571-0030 大阪府 門真市 末広町17-14	
44211	2478	3	99022767	カフェ・喫茶店	からふね屋CAFEあべのキューズモール店	〒545-0052 大阪府 大阪市阿倍野区 阿倍野筋1丁目6-1　あべのキューズモール2F	http://karafuneya.jp/
45247	413	4	97875926	BAR	サニークラウズ	〒538-0052 大阪府 大阪市鶴見区 横堤4-11-6	
46001	139	5	32082213	天ぷら屋	てんぷら ぶん金	〒541-0041 大阪府 大阪市中央区 北浜３―２―２５京阪淀屋橋ビル地下	
46036	177	5	66622601	カフェ・喫茶店	PAN no HAKO	〒542-0085 大阪府 大阪市中央区 心斎橋筋1-4-1　あしたの箱ビル2F	www.pound-house.com
46041	182	5	16899955	カフェ・喫茶店	ネコリパブリック大阪熊取町店	〒590-0451 大阪府 泉南郡熊取町 野田3丁目2297-1	https://www.neco-republic.jp/shop/shop-necorepublic-kumatori/
46500	33	6	85805624	アジア料理	肉まる	〒542-0066 大阪府 大阪市中央区 瓦屋町２丁目１４番１３号 OHS瓦屋町第一ビル２０１	
46517	50	6	24560742	中華料理	TONTON亭	〒544-0004 大阪府 大阪市生野区 巽北３丁目２０番１６号	https://www.chu-ka.com/shop/340006/
46563	96	6	45760699	イタリア料理	オッキーニ	〒530-0003 大阪府 大阪市北区 堂島2-2-2近鉄堂島ビルB1	
46572	105	6	48322225	串かつ屋	串カツ　くらちゃん	〒583-0027 大阪府 藤井寺市 岡１丁目６－１７アゴスト９０　２階	
46600	133	6	27213850	焼き鳥屋	やきとり武	〒553-0003 大阪府 大阪市福島区 福島5-13-2 福島maruビル2階	
46642	176	6	25217516	焼き鳥屋	闘鶏　南船場店	〒542-0081 大阪府 大阪市中央区 南船場４－１０－１３福ビル２階	
46644	178	6	94469320	その他	さかえ屋	〒557-0042 大阪府 大阪市西成区 岸里東1丁目6-15	
46781	318	6	53938612	BAR	Little she	〒585-0035 大阪府 南河内郡河南町 寛弘寺179-10	
46875	412	6	84283538	スナック	のんーnonー	〒577-0058 大阪府 東大阪市 足代北２－１－７	
46910	448	6	88937277	居酒屋	Laughing Owl	〒570-0029 大阪府 守口市来迎町2-9	
46954	492	6	40761360	焼肉	焼肉屋　牛匠	〒542-0073 大阪府 大阪市中央区 日本橋2丁目5番5号	
47195	733	6	33092771	その他	ラムムのケバブ	〒545-0002 大阪府 大阪市阿倍野区 天王寺町南3丁目1番19号	
47233	771	6	45204981	BAR	Wellness Bar 立葵	〒553-0006 大阪府 大阪市福島区 吉野3-7-14	
47249	787	6	66607125	ラーメン	ちゃんぽん亭総本家	〒590-0535 大阪府 泉南市 りんくう南浜3-12 イオンモールりんくう泉南2F フードコート内	
47382	37	7	11488922	カフェ・喫茶店	タイマッサージカフェ２８	〒542-0071 大阪府 大阪市中央区 道頓堀1-1-11　フロントフォースビル東館2F	
47569	224	7	16944057	和食	とり料理まつもと	〒530-0047 大阪府 大阪市北区 西天満2-10-10ACN西天満ﾋﾞﾙ1階	
47605	260	7	22062833	カレー屋	Izumi Noodle	〒550-0023 大阪府 大阪市西区 千代崎2-9-2	
47806	461	7	26285298	カフェ・喫茶店	珈琲丸	〒577-0057 大阪府 東大阪市 足代新町4-12リアライズ布施ビル2階東側	
48017	672	7	77301624	スナック	K（キング）	〒578-0924 大阪府 東大阪市 吉田７丁目１番１２号パル東花園B１	
48101	756	7	93832799	カフェ・喫茶店	CAFE M	〒573-0076 大阪府 枚方市 東香里元町11-46	
48350	121	8	37514288	BAR	Barlounge  NARUMI	〒530-0003 大阪府 大阪市北区 堂島1丁目3番24号エスパス北新地20  4階B	
48407	178	8	99819618	中華料理	創作中華料理　江南灶 	〒542-0073大阪府 大阪市中央区 日本橋１丁目１０−１２　２F 	
48460	231	8	53250575	その他	COTOLIBA天美	〒580-0032 大阪府 松原市 天美東３丁目５００番地 セブンパーク天美	
48491	262	8	16946548	カフェ・喫茶店	creperie & drink Noahs ark	〒561-0832 大阪府 豊中市 庄内西町3丁目7-40三丁目広場	
48495	266	8	94685437	フランス料理店	ragout	〒530-0012 大阪府 大阪市北区芝田1丁目1番3号	
48499	270	8	56996937	焼き鳥屋	焼鳥・手羽唐つかさ屋	〒561-0832 大阪府 豊中市 庄内西町3-7-40三丁目広場-E号	
48500	271	8	12288873	中華料理	餃子の勝	〒561-0832 大阪府 豊中市 庄内西町3-7-40三丁目広場	
48522	293	8	61868375	カフェ・喫茶店	ヴィ・ド・フランス梅田阪急ビル店	〒530-0017 大阪府 大阪市北区 角田町8番1号　梅田阪急ビルディング15階	http://www.viedefrance.co.jp/
48658	429	8	26786964	居酒屋	BARいこい	〒542-0082 大阪府 大阪市中央区 島之内2-8-6	
48661	432	8	80542342	BAR	ダイニングバー　カルネ	〒554-0051 大阪府 大阪市此花区 酉島1-14-14	
48705	476	8	49670085	カフェ・喫茶店	サンルヴァンなんば店	〒542-0076 大阪府 大阪市中央区 難波5-1-60　なんばスカイオ2F	https://www.viedefrance.co.jp/
48747	518	8	59004210	その他	タコヤキUFO	〒537-0012 大阪府 大阪市東成区 大今里3-1-9	
48772	543	8	60105585	その他	カラオケキッチン	〒580-0021 大阪府 松原市 高見の里4ｰ5ｰ31松原ギャラクシービル502号室	
48788	559	8	27737173	カフェ・喫茶店	つつしたらぼ	〒576-0051 大阪府 交野市 倉治4-35-23	higuchiorder.jp
48792	563	8	76559580	居酒屋	マシッヌンニョソッドゥル	〒590-0076 大阪府 堺市堺区 北瓦町2−1−24 	
48844	615	8	34791312	BAR	HOG HAUS	〒557-0001 大阪府 大阪市西成区 山王3-9-24 山王プラザ　1A	
48910	681	8	62389421	クラブ	OWL OSAKA	〒530-0017 大阪府 大阪市北区 角田町5-1 梅田楽天地ビルB1	https://owl-osaka.net/
48941	712	8	76827857	カフェ・喫茶店	ヴィ・ド・フランス春木店	〒596-0006 大阪府 岸和田市 春木若松町14番6号　南海春木駅西改札前	https://www.viedefrance.co.jp/
48978	749	8	42095515	ラーメン	ラーメンはなてん　イオンモール日根野店	〒598-0021 大阪府 泉佐野市 日根野2496-1	
48981	752	8	96271376	ファストフード	ジェラフル　イオンモール日根野店	〒598-0021 大阪府 泉佐野市 日根野2496-1	
49400	337	9	78260006	居酒屋	ちょい呑み　旭翔	〒561-0832 大阪府 豊中市 庄内西町3-7-40	